Clothes|ρούχα|clothing|n(n,pl,)
Clothes|μπλούζα|blouse|n(f,,)
Clothes|κάλτσα|sock|n(f,,)
Clothes|κουστούμι|suit|n(n,,)
Clothes|κασκόλ|scarf|n(n,,)
Clothes|κόσμημα|piece of jewelry|n(n,s,ματα)
Clothes|κόσμηματα|jewelry|n(n,pl,ματα)
Clothes|στολή|uniform|n(f,,)
Clothes|ζώνη|belt|n(f,,)
Clothes|εσώρουχο|piece of underwear|n(n,s,)
Clothes|εσώρουχα|underwear|n(n,pl,)
Clothes|μπότα|boot|n(f,,)
Clothes|τσέπη|pocket|n(f,,)
Clothes|πορτοφόλι|wallet|n(n,,)
Clothes|κοντομάνικο|T-shirt|n(n,,)
Clothes|μάλλινος|woolen|a
Clothes|δερμάτινο|leather|a
Numbers|μηδέν|zero|
Numbers|ένα|one|
Numbers|δύο|two|
Numbers|τρία|three|
Numbers|τέσσερα|four|
Numbers|πέντε|five|
Numbers|έξι|six|
Numbers|επτά|seven|
Numbers|οκτώ|eight|
Numbers|εννέα|nine|
Numbers|δέκα|ten|
Numbers|έντεκα|eleven|
Numbers|δώδεκα|twelve|
Numbers|δεκαεφτά|seventeen|
Numbers|είκοσι|twenty|
Numbers|τριάντα|thirty|
Numbers|σαράντα|forty|
Numbers|πενήντα|fifty|
Numbers|εξήντα|sixty|
Numbers|εβδομήντα|seventy|
Numbers|ογδόντα|eighty|
Numbers|ενενήντα|ninety|
Numbers|εκατό|hundred|
Numbers|διακόσιοι|two hundred|
Numbers|τριακοσιοι|three hundred|
Numbers|τετρακόσιοι|four hundred|
Numbers|χίλιοι|thousand|
Numbers|εκατομμύριο|million|
Numbers|άπειρο|infinite|
Numbers|αριθμός / νούμερο|number / numeral / figure|
Numbers|πρώτος|first|
Numbers|δεύτερος|second|
Numbers|τρίτος|third|
Numbers|τέταρτος|fourth|
Numbers|πέμπτος|fifth|
Numbers|τελευταίος|last|
Numbers|δις|twice|
Numbers|πολλάκις|many times|
