Persons|S1U13|φίλος|friend|n(m,,)
Persons|S2U10|πρόσωπο|face|n(n,,)
Persons|S2U10|μάτι|eye|n(n,,)
Persons|S2U10|μαλλί|hair|n(n,,)
Persons|S2U10|μύτη|nose|n(f,,)
Persons|S2U10|χέρι|arm / hand|n(n,,)
Persons|S2U10|αυτί|ear|n(n,,)
Persons|S2U10|χείλος|lip|n(n,,)
Persons|S2U10|στόμα|mouth|n(n,,)
Persons|S2U10|πόδι|foot / leg|n(n,,)
Persons|S2U10|νέος|young / new|a
Persons|S2U10|χοντρός|fat|a
Persons|S2U10|αδύνατος|thin|a
Persons|S2U10|όμορφος|beautiful / handsome / pretty|a
Persons|S2U10|άσχημος|ugly / nasty|a
Persons|S2U10|κοντός|short|a
Persons|S2U10|μελαχρινός|dark-haired|a
Persons|S2U10|ψηλός|tall|a
Persons|S2U10|αδύναμος|weak / powerless|a
Persons|S2U10|δυνατός|strong / powerful|a
Persons|S2U10|βρώμικος|dirty|a
Persons|S2U10|καθαρός|clean / clear|a
Persons|S2U13|μοντέλο|model|n(n,,)
Persons|S2U13|συγγραφέας|writer|n(m,,)
Persons|S2U13|δουλειά  / εργασία|job / work|n(f,,)
Persons|S2U13|μαθητής|student|n(m,,)
Persons|S2U13|γιατρός|doctor|n(m,,)
Persons|S2U13|παπάς|priest|n(m,,)
Persons|S2U13|γραμματέας|secretary|n(f,,)
Persons|S2U13|εργάτης|worker|n(m,,)
Persons|S2U13|επαγγελματίας|professional|a
Persons|S2U13|καριέρα|career|n(f,,)
Persons|S2U13|δικηγόρος|lawyer|n(m,,)
Persons|S2U13|διευθυντής|manager|n(m,,)
Persons|S2U13|καλλιτέχνης|artist|n(m,,)
Persons|S2U13|στρατιώτης|soldier|n(m,,)
Persons|S2U13|αξιωματικός|officer|n(m,,)
Persons|S2U13|προϊστάμενος|manager / boss|n(m,,)
Persons|S2U13|ηθοποιός|actor|n(m,,)
Persons|S2U13|καπετάνιος|captain|n(m,,)
Persons|S2U13|φύλακας|guard|n(m,,)
Persons|S2U13|δικαστής|judge|n(m,,)
Persons|S2U13|συντάκτης|author|n(m,,)
Persons|S2U13|μηχανικός|mechanic / engineer|n(m,,)
Persons|S2U13|αγρότης|farmer|n(m,,)
Persons|S2U13|σερβιτόρα|waitress|n(f,,)
Persons|S2U13|αφεντικό|boss|n(n,,)
Persons|S2U13|επάγγελμα|profession|n(n,,)
Persons|S2U13|μάγειρας|cook|n(m,,)
Persons|S2U13|σερβιτόρος|waiter|n(m,,)
Persons|S2U13|πυροσβέστης|firefighter|n(m,,)
Persons|S2U13|οικοδόμος|builder|n(m,,)
Persons|S2U13|αστυνομικός|policeman|n(m,,)
Persons|S2U13|ηλεκτρολόγος|electrician|n(m,,)
Persons|S2U13|καθαριστής|cleaner|n(m,,)
Persons|S2U13|υδραυλικός|plumber|n(m,,)
Persons|S2U13|οδηγός|driver|n(m,,)
Persons|S2U13|κτηνίατρος|vet / veterinarian|n(m,,)
Expression|S1U1|ναι|yes|
Expression|S1U1|όχι|no|
Expression|S1U4|γεια|Hello / Bye|
Expression|S1U4|γεια σου|Hello (to one person)|
Expression|S1U4|γεια σας|Hello (to multiple persons / formal)|
Expression|S1U4|Χαίρετε|Hello|
Expression|S1U4|θα ήθελα...|I would like...|
Expression|S1U5|παρακαλώ|please|
Expression|S1U5|ευχαριστώ|Thank you|
Expression|S1U8|πώς είσαι|How are you (singular)|
Expression|S1U8|με συγχωρείτε|Excuse me|
Expression|S1U8|συγγνώμη|Sorry / Excuse me|
Expression|S1U8|καλημέρα|Good morning / Good day|
Expression|S1U8|καλησπέρα|Good afternoon|
Expression|S1U8|Καληνύχτα|Good night|
Expression|S1U8|τα λέμε|See you|
Expression|S1U8|χάρηκα|Nice to meet you|
Expression|S1U8|με λένε...|My name is...|
Expression|S1U8|ορίστε|Here you are|
Expression|S1U8|αντίο|Goodbye|
Expression|S1U8|Πώς σε λένε;|What is your name?|
Expression|S1U8|εντάξει|Alright / OK|
